method,seed,stress_level,robust_success,failure_macro_f1,rare_failure_recall,tail_risk,calibration_error,safety_violation_rate
failure_prediction_active_learning,5,0.40,0.60000,0.00000,0.00000,0.40000,0.38721,0.20000
calibrated_failure_risk,5,0.40,0.60000,0.00000,0.00000,0.40000,0.38851,0.20000
hybrid_diversity_risk,5,0.40,0.60000,0.11367,0.00000,0.40000,0.36085,0.20000
failure_stratified_engine,5,0.40,0.50000,0.07895,0.00000,0.50000,0.34337,0.40000
failure_stratified_engine_v5,5,0.40,0.50000,0.11466,0.00000,0.50000,0.32752,0.40000
oracle_failure_strata,5,0.40,0.60000,0.11889,0.02105,0.40000,0.35849,0.20000
uncertainty_sampling,6,0.40,0.80000,0.07941,0.00000,0.20000,0.07946,0.00000
failure_prediction_active_learning,6,0.40,0.80000,0.00000,0.00000,0.20000,0.12928,0.00000
calibrated_failure_risk,6,0.40,0.80000,0.00000,0.00000,0.20000,0.13881,0.00000
hybrid_diversity_risk,6,0.40,0.80000,0.07941,0.00000,0.20000,0.12832,0.00000
failure_stratified_engine,6,0.40,0.80000,0.05000,0.00000,0.20000,0.07521,0.00000
failure_stratified_engine_v5,6,0.40,0.80000,0.08710,0.00000,0.20000,0.08589,0.00000
oracle_failure_strata,6,0.40,0.80000,0.06553,0.01667,0.20000,0.09593,0.00000
uncertainty_sampling,7,0.40,0.50000,0.10700,0.00000,0.50000,0.32454,0.20000
failure_prediction_active_learning,7,0.40,0.50000,0.07000,0.00000,0.50000,0.32210,0.20000
calibrated_failure_risk,7,0.40,0.50000,0.07292,0.00000,0.50000,0.30726,0.20000
hybrid_diversity_risk,7,0.40,0.50000,0.12418,0.00000,0.50000,0.29201,0.20000
failure_stratified_engine,7,0.40,0.50000,0.09848,0.00000,0.50000,0.29874,0.20000
failure_stratified_engine_v5,7,0.40,0.50000,0.12305,0.00000,0.50000,0.26204,0.20000
oracle_failure_strata,7,0.40,0.50000,0.12751,0.04615,0.50000,0.28270,0.20000
uncertainty_sampling,0,0.60,0.10000,0.28110,0.15627,0.90000,0.30534,0.90000
failure_prediction_active_learning,0,0.60,0.10000,0.22497,0.06657,0.90000,0.34720,0.90000
calibrated_failure_risk,0,0.60,0.10000,0.24341,0.08809,0.90000,0.34769,0.90000
hybrid_diversity_risk,0,0.60,0.10000,0.26817,0.12679,0.90000,0.38066,0.90000
failure_stratified_engine,0,0.60,0.10000,0.22954,0.08715,0.90000,0.28960,0.90000
failure_stratified_engine_v5,0,0.60,0.10000,0.25172,0.09684,0.90000,0.38601,0.90000
oracle_failure_strata,0,0.60,0.10000,0.26898,0.17753,0.90000,0.27487,0.90000
uncertainty_sampling,1,0.60,0.20000,0.36209,0.41004,0.90000,0.21181,0.80000
failure_prediction_active_learning,1,0.60,0.20000,0.28468,0.31231,0.90000,0.23503,0.80000
calibrated_failure_risk,1,0.60,0.20000,0.30297,0.33068,0.90000,0.23571,0.80000
hybrid_diversity_risk,1,0.60,0.20000,0.33996,0.37936,0.90000,0.29288,0.80000
failure_stratified_engine,1,0.60,0.20000,0.33594,0.36004,0.90000,0.20117,0.80000
failure_stratified_engine_v5,1,0.60,0.20000,0.36437,0.38542,0.90000,0.24224,0.80000
oracle_failure_strata,1,0.60,0.20000,0.35782,0.38523,0.90000,0.18196,0.80000
uncertainty_sampling,2,0.60,0.00000,0.22018,0.05285,1.00000,0.42010,1.00000
failure_prediction_active_learning,2,0.60,0.00000,0.21362,0.04797,1.00000,0.41316,1.00000
calibrated_failure_risk,2,0.60,0.00000,0.21580,0.05285,1.00000,0.41864,1.00000
hybrid_diversity_risk,2,0.60,0.00000,0.29493,0.13577,1.00000,0.41693,1.00000
failure_stratified_engine,2,0.60,0.00000,0.32168,0.16504,1.00000,0.36466,1.00000
failure_stratified_engine_v5,2,0.60,0.00000,0.32780,0.17967,1.00000,0.46365,1.00000
oracle_failure_strata,2,0.60,0.00000,0.34554,0.26098,1.00000,0.32240,1.00000
uncertainty_sampling,3,0.60,0.10000,0.14511,0.01667,0.90000,0.31480,0.80000
failure_prediction_active_learning,3,0.60,0.10000,0.11812,0.00556,0.90000,0.41746,0.80000
calibrated_failure_risk,3,0.60,0.10000,0.11812,0.00556,0.90000,0.41808,0.80000
hybrid_diversity_risk,3,0.60,0.10000,0.14162,0.01683,0.90000,0.40226,0.80000
failure_stratified_engine,3,0.60,0.10000,0.17457,0.03952,0.90000,0.36782,0.80000
failure_stratified_engine_v5,3,0.60,0.10000,0.17082,0.04476,0.90000,0.40504,0.80000
oracle_failure_strata,3,0.60,0.10000,0.29873,0.19651,0.90000,0.30282,0.80000
uncertainty_sampling,4,0.60,0.10000,0.17639,0.04106,0.90000,0.34704,0.70000
failure_prediction_active_learning,4,0.60,0.10000,0.13021,0.01463,0.90000,0.40650,0.70000
calibrated_failure_risk,4,0.60,0.10000,0.13295,0.01463,0.90000,0.40527,0.70000
hybrid_diversity_risk,4,0.60,0.10000,0.20895,0.07805,0.90000,0.41643,0.70000
